Name,Gender,Department,Salary,Loc,Rating
Ches Bonnell,Male,Sales,"$88,050.00",Bellevue,Very Good
Garwin Peasegood,Female,Engineering,"$68,220.00",Bellevue,Good
Sidoney Yitzhok,Female,NULL,"$118,440.00",Wellington,Not Rated
Saunders Blumson,"",Legal,"$56,370.00",Los Angeles,Very Good
Gardy Grigorey,Female,Support,"$107,090.00",Los Angeles,Poor
Marlie Charsley,Male,Support,"$108,450.00",Wellington,Poor
Adella Hartshorne,Female,Human Resources,"$41,160.00",Bellevue,Average
Rasla Fisby,Male,Legal,"$109,000.00",Wellington,Very Good
Rayna Gamlin,"",Services,"",Wellington,Average
Willi Vasey,Female,Support,"$43,020.00",Los Angeles,Average
Selby Hacker,Male,Business Development,"$37,800.00",Bellevue,Average
Stefa Eggleston,Male,Sales,"$88,380.00",Los Angeles,Average
Phylys Benitez,Female,Product Management,"$84,420.00",Wellington,Average
Ronnie Sinyard,Female,Legal,"$101,760.00",Wellington,Good
Axel Grigaut,Male,Sales,"$110,780.00",Wellington,Poor
Timmi Durran,Male,Human Resources,"$68,430.00",Wellington,Good
Minna Showler,Female,Training,"$105,370.00",Los Angeles,Good
Dyanne Strafen,Male,Engineering,"$113,800.00",Bellevue,Average
Dorolice Farry,Female,Sales,"$76,300.00",Los Angeles,Average
Elliot Tuplin,Female,Sales,"$44,530.00",Los Angeles,Average
Lion Adcock,Female,Legal,"$63,710.00",Bellevue,Average
Vic Radolf,Female,Product Management,"$62,780.00",Wellington,Very Good
Tiffani Mecozzi,Female,Training,"$119,750.00",Bellevue,Average
Jeane Bermingham,Male,Research and Development,"$116,980.00",Los Angeles,Very Poor
Gavan Puttan,Male,Accounting,"$35,940.00",Wellington,Good
Danielle Johananoff,Male,Services,"$109,040.00",Bellevue,Average
Rafaelita Blaksland,Female,Services,"$109,160.00",Los Angeles,Good
Brit Hamnett,Male,Human Resources,"$75,540.00",Wellington,Average
Mable Phythian,Female,Engineering,"$30,000.00",Los Angeles,Average
Joella Maevela,Female,Sales,"$76,210.00",Wellington,Good
Mollie Hanway,Male,NULL,"$112,650.00",Bellevue,Average
Obidiah Westrope,Male,Legal,"$108,460.00",Los Angeles,Good
Murry Dryburgh,Male,Research and Development,"$69,070.00",Los Angeles,Poor
Abbie Tann,Female,Business Development,"$116,520.00",Bellevue,Good
Aluin Churly,Female,Research and Development,"$96,560.00",Los Angeles,Not Rated
Bennett Gimenez,Female,Human Resources,"$36,460.00",Wellington,Good
Isa Mogie,Female,Training,"$50,950.00",Los Angeles,Good
Yves Clunie,Female,Marketing,"$75,440.00",Bellevue,Average
Iain Wiburn,Female,Sales,"$84,760.00",Los Angeles,Average
Nonah Bissell,Male,Engineering,"$82,240.00",Los Angeles,Poor
